time,latitude,longitude,depth,mag,days_since_start,is_mainshock
2019-07-04 16:13:43.370000+00:00,35.7071667,-117.4991667,10.94,1.5,0.0,False
2019-07-04 17:02:55.340000+00:00,35.7081667,-117.5036667,10.6,3.98,0.03416631944444444,False
2019-07-04 17:09:20.090000+00:00,35.7076667,-117.5013333,10.97,2.49,0.03861944444444444,False
2019-07-04 17:12:14.970000+00:00,35.7065,-117.5031667,10.52,2.13,0.040643518518518516,False
2019-07-04 17:12:38.080000+00:00,35.7083333,-117.4905,11.04,1.75,0.04091099537037037,False
2019-07-04 17:33:49+00:00,35.7053333,-117.5038333,10.5,6.4,0.05562071759259259,False
2019-07-04 17:35:01.660000+00:00,35.644,-117.5671667,4.64,4.49,0.056461689814814815,False
2019-07-04 17:35:17.430000+00:00,35.6886667,-117.474,6.48,3.93,0.056644212962962966,False
2019-07-04 17:35:46.340000+00:00,35.6936667,-117.437,7.65,3.63,0.056978819444444447,False
2019-07-04 17:35:52.170000+00:00,35.687,-117.5061667,1.6,4.28,0.057046296296296296,False
2019-07-04 17:36:04.360000+00:00,35.7341667,-117.5741667,6.41,3.94,0.057187384259259254,False
2019-07-04 17:36:58.950000+00:00,35.7258333,-117.5593333,5.3,3.41,0.05781921296296296,False
2019-07-04 17:37:01.140000+00:00,35.7105,-117.4773333,1.57,3.66,0.05784456018518519,False
2019-07-04 17:37:14.850000+00:00,35.6655,-117.516,1.64,3.97,0.05800324074074074,False
2019-07-04 17:37:25.640000+00:00,35.6758333,-117.4575,15.82,4.01,0.058128125,False
2019-07-04 17:37:46.320000+00:00,35.6811667,-117.5261667,6.83,3.24,0.05836747685185185,False
2019-07-04 17:37:55.500000+00:00,35.7456667,-117.5516667,8.29,3.86,0.05847372685185185,False
2019-07-04 17:38:21.450000+00:00,35.714,-117.476,1.74,3.73,0.058774074074074076,False
2019-07-04 17:38:47.500000+00:00,35.6215,-117.5782,9.7,3.5,0.0590755787037037,False
2019-07-04 17:38:47.760000+00:00,35.6235,-117.596,8.55,3.5,0.05907858796296297,False
2019-07-04 17:38:57.260000+00:00,35.6698333,-117.5295,1.87,3.43,0.05918854166666667,False
2019-07-04 17:39:05.120000+00:00,35.7168333,-117.6661667,5.17,3.25,0.05927951388888889,False
2019-07-04 17:39:14.620000+00:00,35.6215,-117.5945,8.82,2.98,0.059389467592592594,False
2019-07-04 17:39:33.310000+00:00,35.5743333,-117.6366667,6.85,3.11,0.059605787037037034,False
2019-07-04 17:39:35.360000+00:00,35.6876667,-117.4931667,10.96,3.69,0.05962951388888889,False
2019-07-04 17:39:51.740000+00:00,35.6715,-117.5453333,2.27,3.11,0.05981909722222222,False
2019-07-04 17:40:02.250000+00:00,35.7253333,-117.5708333,6.63,3.8,0.05994074074074074,False
2019-07-04 17:40:18.520000+00:00,35.707,-117.5101667,8.66,4.13,0.06012905092592592,False
2019-07-04 17:40:34.900000+00:00,35.6948333,-117.5018333,2.04,3.54,0.060318634259259256,False
2019-07-04 17:40:46.140000+00:00,35.7298333,-117.5548333,7.72,3.42,0.060448726851851854,False
2019-07-04 17:40:51.720000+00:00,35.6805,-117.4743333,7.09,3.13,0.06051331018518519,False
2019-07-04 17:41:20.850000+00:00,35.7266667,-117.5288333,1.97,3.3,0.06085046296296296,False
2019-07-04 17:42:54.130000+00:00,35.7301667,-117.5586667,7.84,3.22,0.06193009259259259,False
2019-07-04 17:43:29.200000+00:00,35.6783,-117.5488,5.15,3.6,0.06233599537037037,False
2019-07-04 17:44:24.020000+00:00,35.7478333,-117.54,9.4,2.77,0.06297048611111111,False
2019-07-04 17:44:32.820000+00:00,35.6875,-117.5071667,1.54,3.86,0.06307233796296297,False
2019-07-04 17:45:05.780000+00:00,35.6976667,-117.4865,2.24,3.03,0.06345381944444445,False
2019-07-04 17:45:23.950000+00:00,35.7151667,-117.5473333,7.21,3.03,0.06366412037037036,False
2019-07-04 17:45:28.630000+00:00,35.7348333,-117.5368333,10.34,3.21,0.06371828703703704,False
2019-07-04 17:46:03.710000+00:00,35.6431667,-117.6101667,10.14,2.96,0.06412430555555555,False
2019-07-04 17:46:20.320000+00:00,35.6563333,-117.5325,1.52,2.56,0.06431655092592592,False
2019-07-04 17:46:37.050000+00:00,35.7213333,-117.5286667,4.6,2.44,0.06451018518518518,False
